Tales of the Alien Invaders,sci-fi,Fight against an alien invasion and save the world in this epic sci-fi adventure.
Empire of the Necropolis,horror,Rule over the land of the dead and command an army of undead minions in this dark and twisted game.
Chronicles of the Forbidden Planet,sci-fi,Explore a forbidden planet filled with danger, mystery, and alien secrets.
Reign of the Cyborg Warlords,post-apocalyptic,Lead your faction to victory in a world of cyborgs and advanced technology.
Sagas of the Dark Underworld,fantasy,Descend into the dark underworld and conquer its twisted denizens in this epic strategy game.
Chronicles of the Haunted School,horror,Explore a haunted school filled with ghosts, demons, and other supernatural threats.
Kingdoms of the Divine Demons,fantasy,Control divine demons and lead your armies to victory in this epic strategy game.
Tales of the Lost Civilization,adventure,Discover a lost civilization and its secrets in this epic adventure game.
Dominion of the Demonic Hordes,horror,Control demonic hordes and spread chaos and destruction in this dark and twisted strategy game.
Chronicles of the Forbidden Forest,adventure,Explore a forbidden forest filled with mystery, danger, and ancient magic.
Reign of the Post-Apocalyptic Kings,post-apocalyptic,Lead your faction to victory in a world of scarce resources and ruthless warlords.
Sagas of the Dark Necropolis,fantasy,Rule over a dark necropolis and command an army of undead horrors in this twisted strategy game.
Tales of the Cybernetic Revolution,sci-fi,Join the cybernetic revolution and fight against oppression and tyranny in this epic sci-fi adventure.
Empire of the Witch Queens,fantasy,Rule over a coven of powerful witch queens and use their magic to dominate the land in this epic strategy game.
Chronicles of the Haunted Hotel,horror,Explore a haunted hotel filled with ghosts, spirits, and other supernatural threats.
Reign of the Mechanical Warlords,post-apocalyptic,Lead your faction to victory in a world of mechanical beasts and advanced technology.
Kingdoms of the Celestial Warriors II,fantasy,Lead your armies of celestial warriors once again to victory against the forces of darkness.
